year,value
2016,1918.60
2015,2028.18
2014,1822.36
2013,1480.40
2012,1300.58
2011,1282.62
2010,1123.58
2009,865.58
2008,1378.76
2007,1424.16
2006,1278.73
2005,1181.41
2004,1132.52
2003,895.84
2002,1140.21
2001,1335.63
2000,1425.59
1999,1248.77
1998,963.36
1997,766.22
1996,614.42
1995,465.25
1994,472.99
1993,435.23
1992,416.08
1991,325.49
1990,339.97
1989,285.40
1988,250.50
1987,264.50
1986,208.20
1985,171.60
1984,166.40
1983,144.30
1982,117.30
1981,133.00
1980,110.90
1979,99.71
1978,90.25
1977,103.80
1976,96.86
1975,72.56
1974,96.11
1973,118.40
1972,103.30
1971,93.49
1970,90.31
1969,102.00
1968,95.04
1967,84.45
1966,93.32
1965,86.12
1964,76.45
1963,65.06
1962,69.07
1961,59.72
1960,58.03
1959,55.62
1958,41.12
1957,45.43
1956,44.15
1955,35.60
1954,25.46
1953,26.18
1952,24.19
1951,21.21
1950,16.88
1949,15.36
1948,14.83
1947,15.21
1946,18.02
1945,13.49
1944,11.85
1943,10.09
1942,8.93
1941,10.55
1940,12.30
1939,12.50
1938,11.31
1937,17.59
1936,13.76
1935,9.26
1934,10.54
1933,7.09
1932,8.30
1931,15.98
1930,21.71
1929,24.86
1928,17.53
1927,13.40
1926,12.65
1925,10.58
1924,8.83
1923,8.90
1922,7.30
1921,7.11
1920,8.83
1919,7.85
1918,7.21
1917,9.57
1916,9.33
1915,7.48
1914,8.37
1913,9.30
1912,9.12
1911,9.27
1910,10.08
1909,9.06
1908,6.85
1907,9.56
1906,9.87
1905,8.43
1904,6.68
1903,8.46
1902,8.12
1901,7.07
1900,6.10
1899,6.08
1898,4.88
1897,4.22
1896,4.27
1895,4.25
1894,4.32
1893,5.61
1892,5.51
1891,4.84
1890,5.38
1889,5.24
1888,5.31
1887,5.58
1886,5.20
1885,4.24
1884,5.18
1883,5.81
1882,5.92
1881,6.19
1880,5.11
1879,3.58
1878,3.25
1877,3.55
1876,4.46
1875,4.54
1874,4.66
1873,5.11
1872,4.86
1871,4.44
